Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67,Country Name
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.9160308837891,45.2778015136719,45.6929893493652,46.2048187255859,46.7686386108398,47.4164390563965,47.6296882629395,48.4772109985352,49.334358215332,50.3095283508301,50.8972396850586,51.8869094848633,52.7918815612793,53.7633590698242,54.8580207824707,55.795711517334,56.5173301696777,57.3515090942383,58.3188400268555,59.7680206298828,60.485050201416,61.6436805725098,62.6564598083496,63.5654792785645,64.7393798828125,65.8900833129883,68.5137405395508,69.4438781738281,69.0280914306641,67.945426940918,68.43212890625,69.4384536743164,68.1090469360352,69.0688171386719,70.8689193725586,74.3506622314453,73.9219512939453,76.1254501342773,73.5515670776367,74.9264068603516,75.8427124023438,72.9458618164063,73.1888732910156,73.5891876220703,0.0,0.0,0.0,Governance ARB
Methane emissions (metric tons of CO2 equivalent per capita),EN.ATM.METH.PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77281490095974,1.73767149209465,1.75789087137866,1.81837495783954,1.85679746943978,1.86655926698207,1.86341650541047,1.87965233496242,1.89295550461742,1.87522935155974,1.91065695557058,1.84311460067744,1.80412294542023,1.84058015185136,1.84302814650857,1.86138834050996,1.84297161776624,1.80271557347049,1.78969322472925,1.7054100901596,1.7056792653618,1.62672338965379,1.71495867459603,1.63446530638462,1.57607684468737,1.56134741019564,1.57730768978917,1.58218368331246,1.58511037861352,1.57259611228353,1.44483549506641,0.0,0.0,0.0,Governance ARB
Nitrous oxide emissions (metric tons of CO2 equivalent per capita),EN.ATM.NOXE.PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309733910150854,0.299182642612968,0.297792747970068,0.304256859139671,0.30183894162665,0.3016462458746,0.308405637630006,0.306441996906163,0.313510496996862,0.311319935714633,0.324649275750827,0.316454642418101,0.320514365106969,0.311107196412189,0.316631048320264,0.316329680602015,0.309377188253531,0.307300105198776,0.299614486443131,0.299494129767565,0.290386664422271,0.291186928580424,0.290268163339553,0.286412329272552,0.27957517382481,0.275017599586269,0.272323507632157,0.269264440469652,0.262297549923953,0.256578639489215,0.252080046767579,0.0,0.0,0.0,Governance ARB
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.4868495009106,3.50853567032878,3.540907720122,3.56798750549275,3.58931662470847,3.60618856332459,3.61055235150636,3.60291778677171,3.59308861358209,3.58069887121925,3.56593253230632,3.55023322839315,3.53408795133348,3.51672275840951,3.49656484389395,3.48215658113238,3.47944567770372,3.46732740736293,3.43882687431141,3.40973159895973,3.38367360694309,3.35788755185178,3.33233500493101,3.31005475088571,3.29628043022867,3.29044929286282,3.2915952603581,3.29809051449208,3.30569336508426,3.31804213596893,3.32952654355342,3.35452238660346,3.37749551231374,3.40098796828385,3.42466615681233,3.44981471812996,3.49158302297852,3.54957514339704,3.59104265416531,3.61421418396904,3.63274832345146,3.64750631498693,3.66021207377185,3.66760264573217,3.66940349879398,3.66256480236218,3.6450005953934,3.62346887449242,3.6067837496321,3.60123678079716,3.6145913185774,3.65274008564847,3.70576107507584,3.76498207005842,3.82825985945397,3.89707127194567,3.97250311800462,4.05732979727603,4.15161860285186,4.25238307829405,4.35576340297197,0.0,0.0,0.0,Governance ARB
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3886724446447,26.5080156202837,27.0286891887607,26.8075957907777,27.3603681563032,27.3343429118917,27.4390296143767,27.4100067131722,27.4789567064425,28.0333932259097,28.3941316718599,28.6642641176389,28.0448081051698,28.3507262826446,28.6149348349125,28.940033930153,29.4330086496953,30.4213608185009,30.0400979549424,30.5242456155951,30.5049224802905,30.6594133725891,30.8501282466249,31.2618315474795,31.6066394181858,32.2550713440906,32.8118930161742,32.2774519136168,31.2028395370694,30.8534410841826,31.3279983408443,30.3832866347549,30.8730332466403,0.0,Governance ARB
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2415212459437,6.69071124370349,5.76901813258006,5.38748187078984,5.32098508196058,5.08106281845763,5.3000683462729,5.17146502773086,4.80992967409566,4.84638713444539,4.46423746968679,4.6175616335242,3.75554863125196,3.94350965777264,3.91353009662894,4.47443992179813,4.11949398886756,4.15021671475071,3.36273904985168,3.32848576738529,3.85400991246685,3.54976563509352,3.48121852231759,3.77038496124868,3.2780734203655,2.92070168610513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Governance ARB
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43882276752897,7.34962257694742,6.98156458024041,6.83182616992136,6.96771410940186,6.90481920262246,6.92848614716831,6.95525427376293,6.8243472763399,6.81629239839438,6.67258176424439,6.51633516432792,6.36058400508412,6.46301679352422,6.77138769851273,6.41614597017232,6.20432379909676,5.61033367526005,5.14676484189377,5.05183992823682,4.82576885189732,4.67272069134643,4.44968668236096,4.48401776900296,4.35892992996109,4.22349500938588,4.28791485864165,4.37567300633967,4.52639402004232,4.73230713602678,5.13858498417462,0.0,0.0,0.0,Governance ARB
Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1346024888637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Governance ARB
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.10051405712383,1.97994899173291,3.15987103269423,12.2602593891561,10.8246246886639,11.4077295702652,9.54216535215384,10.5561319265905,21.4108735420255,16.2165011791185,14.1480434816058,6.58532867385621,6.94049091904169,7.60480199789288,7.84256234768208,3.8425044749622,4.90746614984854,3.64356518420903,5.10700485204147,6.21619773951493,4.18959230101532,4.06491244476446,3.54992076587468,3.53121968990837,3.40706192151333,3.71872256649151,2.81127757052799,1.52433707788542,2.18559856920915,3.31615765700212,2.39676455365776,2.60488009275756,3.36324519358617,3.55545657152329,5.22607918757764,5.97180722713178,5.43050581619118,5.89172541274934,5.06813637929196,5.9571097151413,7.26091610678396,7.48868455156035,6.84818390008352,5.17434975757921,2.79233156215805,2.81702801834033,3.72561948494086,4.06076229006656,3.17290460507701,3.76381726900341,0.0,0.0,0.0,Governance CSS
"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Governance CSS
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57179892242048,4.58645822236043,4.63700891728669,4.22173544586359,3.96167310528824,3.99128306277204,4.1128107089116,4.21052968953823,4.3804856690393,4.40546822726508,4.32765265891448,4.53219448352396,4.61813394262034,5.09524327773549,5.19351006128065,5.38437339121032,5.89562990936975,5.96490045688232,5.56021267708889,5.16555575339161,5.46817955727434,5.63014906825421,5.51816505468475,5.6723988226266,5.58212129044189,5.43758673488173,5.12342222011784,4.9719495801679,5.12587038028923,5.06660468835153,4.40268790108705,0.0,0.0,0.0,Governance CSS
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.6521956899467,-72.3263150136073,-84.16638390595,-106.357031905045,-148.973718757445,-149.207438850457,-155.756218672484,-132.915362861689,-113.193240950217,-119.127087037791,-95.0678919584861,-95.079775160205,-87.2649896368398,-86.4859327057324,-92.0055985944529,-81.1610182586861,-80.4808319323113,-73.4373381407783,-65.8750749948257,-49.4970155408022,-45.5781417635933,-35.5631075792572,-30.947767166432,-37.2631392754493,-35.5344336518015,-25.994771368287,-30.8464378544135,-25.1898408203569,-28.5253881031948,-42.5887949472447,-35.2838546418168,-51.0824819641563,-77.5753855969818,-81.4643835568654,-76.0699209148623,-83.6633883427703,-78.251999110999,-86.6007239940809,-92.0637820368837,-87.3240877630051,-79.8298439804338,-81.1318771644018,-78.5304203245728,-78.4108039231565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Governance CSS
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.35027502489296,8.7482715550195,8.7224862798146,8.99817421347363,8.82322444907559,9.39228585891311,9.66334816704315,9.81742551034318,9.20765223777555,9.37770676865369,9.64746192142586,9.6474125597835,9.44429324523086,9.42774662549079,9.68709595660046,9.24749413719719,8.67303516169005,8.56902937670472,8.58579564473123,8.75247783034524,8.07185285856019,0.0,0.0,0.0,Governance CSS
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1859.49153918102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3229.00882261316,3479.49955137367,3570.52653713028,3901.96069298003,3036.85300158039,3341.39402811389,3660.54370550875,3808.077325027,4892.18613427785,4801.88155920592,5001.35599811695,4936.99281632186,4801.02141711621,4849.48715989874,4800.68247196708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Governance CSS
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2213607623533,93.8992632506979,95.0427021184103,94.4053686437637,94.2767821308018,94.1748766629172,94.9141221950637,95.1967832998748,95.8779988347358,95.8413509014012,96.0359965094559,95.6676862184873,95.757828229117,95.5558139688928,95.6772001510722,95.5489036150216,95.2455616180798,95.6532912859328,95.2225479639396,78.3242244572234,93.7830483799983,94.2745901055953,94.2652703287751,94.1247901526547,94.3785699353101,94.9191731680183,94.5633352329879,95.5329622371187,95.901121394169,94.6485445120662,95.6235215668683,96.3905431205722,96.7943072715432,86.5621110618397,87.541990130466,88.4888780303185,88.891796617136,97.0107512314506,96.7948715086224,97.3329760948634,97.1751820374231,96.9359136584334,96.9411785219309,96.9043425830759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Governance CSS
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.0,10.0990653868985,4.57571545055995,3.75074697341893,8.7241254814072,6.2226213454297,7.47595692424512,4.43791445597135,5.91041886415763,5.58967634359571,4.52180030654206,2.16560167464796,7.26510748538058,-0.612624697103712,-3.14970178671565,-1.18989815732282,1.20347697519374,3.82556843066774,5.75330876789228,5.14770287518054,2.46064942412268,0.964620976740676,1.01044463713392,-2.40370891361552,0.97743387496088,0.077853661246067,1.35035202632177,1.88593081491616,2.22607534905752,4.18599816496442,0.946743819721945,1.38146939031058,2.23175056789555,2.95637217486859,2.78608538380442,2.90573166993408,3.46430665800948,4.04277828391355,1.20221345781582,5.05007015017824,3.76554081593692,2.04288702277167,3.58807530189007,5.61200644878737,3.94242363985411,3.60836650729792,6.7849404494404,3.36121785772264,1.20188409618382,-3.53667544397257,1.28344866544528,1.05365885515671,3.18789545410468,1.46302186660576,2.13792864681599,0.264186286177932,-1.77265919224619,-0.535187036624791,1.27583592874647,0.826853047283848,-9.17742361599343,5.76088120871994,12.5678069970797,0.0,Governance CSS
GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Governance CSS
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0114532356761,67.9865112434682,68.0246168046777,67.9738848908677,68.0957739296374,68.1317905083685,67.9099479061327,67.7890851809135,67.5823076224791,67.1280830457314,67.0096530200014,66.7011998882341,66.5822974570254,66.6480795254443,67.0003363125784,67.1321043846458,67.0794278987937,66.9276885370495,66.8693865874926,65.768387694229,64.7034670853208,64.9358555134871,65.2965305809735,65.846977658351,66.3174676953349,67.451962707494,67.2810864335558,67.6061308191661,67.5777829255679,67.3487044532544,65.3787785232706,66.627101624893,0.0,0.0,Governance CSS
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.2820663452148,86.3258972167969,86.5989837646484,86.847526550293,87.0966415405273,87.4030838012695,87.1461486816406,88.0506286621094,88.4189300537109,88.6944808959961,88.9567413330078,89.2070693969727,89.5083389282227,89.6874618530273,90.2749404907227,90.5231018066406,90.7329788208008,90.80419921875,90.8592071533203,90.732177734375,90.655403137207,90.667839050293,90.7875671386719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Governance CSS
Methane emissions (metric tons of CO2 equivalent per capita),EN.ATM.METH.PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44834805333126,3.49926903076991,3.50600476266946,3.22038262221524,2.99652258348473,2.79056828045561,2.64350937549253,2.42167880579116,2.23189147615573,2.13174949471333,1.99347650255441,2.04499173945566,2.09328156527088,2.30737108886191,2.32198454626461,2.38762725752425,2.50843414794724,2.52192745092201,2.53947049534339,2.56135161740549,2.58805358053506,2.57529798347812,2.55643384324099,2.5716281545496,2.55915032869872,2.48273289310608,2.31080886276522,2.32467670669149,2.30634345168923,2.31643148733678,2.22580798259932,0.0,0.0,0.0,Governance CSS
Nitrous oxide emissions (metric tons of CO2 equivalent per capita),EN.ATM.NOXE.PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231206761457392,0.239293531553734,0.239100436867892,0.238946610115559,0.235943263250622,0.243782563445909,0.246986135107775,0.248978970043239,0.247974386119992,0.251038139216902,0.248560519138074,0.243430675395058,0.256718920202247,0.273473456421687,0.270369760865231,0.249264412623995,0.240026194360963,0.237666902648697,0.254812130520208,0.245869202956819,0.249119674582992,0.248105518218341,0.254134671256691,0.264894705407207,0.264791875944501,0.268250809248731,0.26108720884779,0.260439096619573,0.25868222830914,0.267852023988895,0.259164637769773,0.0,0.0,0.0,Governance CSS
